stats_o/std,test/success_rate,test/reward_compute_count,train/success_rate,test/ag_g_dist,train/reward_compute_count,stats_g/mean,test/episode,train/episode,train/critic_loss,stats_g/std,epoch,test/mean_Q,stats_o/mean
0.7183072,0.0,1000.0,0.0,0.9807684,5000.0,0.35867414,20.0,100.0,0.125187,0.14148341,0,-2.7537339,0.19981521
0.7145404,0.0,2000.0,0.0,0.98858356,10000.0,0.3585954,40.0,200.0,0.12405155,0.14093508,1,-4.803249,0.20318668
0.71252805,0.0,3000.0,0.0,0.9402974,15000.0,0.35881642,60.0,300.0,0.12571727,0.1413208,2,-6.584915,0.20482735
0.71083933,0.0,4000.0,0.0,0.9426408,20000.0,0.358745,80.0,400.0,0.13246779,0.14181344,3,-8.420562,0.20486641
0.71193165,0.0,5000.0,0.0016666666666666668,0.9059475,25000.0,0.35866418,100.0,500.0,0.12855627,0.14176366,4,-9.8265505,0.20511214
0.7133382,0.008333333333333333,6000.0,0.0016666666666666668,0.912924,30000.0,0.35866666,120.0,600.0,0.1311384,0.142278,5,-11.308422,0.20514548
0.72001,0.0,7000.0,0.0033333333333333335,0.97434646,35000.0,0.35828272,140.0,700.0,0.13436757,0.14368466,6,-12.802174,0.20521003
0.72863144,0.025000000000000005,8000.0,0.0033333333333333335,0.90798235,40000.0,0.35845742,160.0,800.0,0.13325931,0.14588301,7,-13.699272,0.20517413
0.73798436,0.016666666666666666,9000.0,0.0016666666666666668,0.8093362,45000.0,0.35901448,180.0,900.0,0.13783313,0.14779839,8,-13.192813,0.20485055
0.7459701,0.03333333333333333,10000.0,0.011666666666666667,0.79398555,50000.0,0.35963294,200.0,1000.0,0.13012771,0.14902696,9,-13.849187,0.20473142
0.754365,0.06666666666666667,11000.0,0.0033333333333333335,0.8541879,55000.0,0.36019897,220.0,1100.0,0.1444724,0.15001275,10,-15.174029,0.20521699
0.7609866,0.025000000000000005,12000.0,0.006666666666666667,0.9405772,60000.0,0.36056146,240.0,1200.0,0.15313442,0.15109967,11,-16.780111,0.20541064
0.7669652,0.03333333333333333,13000.0,0.0033333333333333335,0.8568074,65000.0,0.36075082,260.0,1300.0,0.1554045,0.15171514,12,-16.26076,0.20558526
0.773715,0.05833333333333333,14000.0,0.01,0.90704614,70000.0,0.36108264,280.0,1400.0,0.14539011,0.15261433,13,-16.753958,0.20573966
0.7791715,0.025000000000000005,15000.0,0.006666666666666667,0.90738434,75000.0,0.3615233,300.0,1500.0,0.15133427,0.15337658,14,-17.756779,0.20610417
0.78372145,0.08333333333333333,16000.0,0.005,0.8089347,80000.0,0.3617625,320.0,1600.0,0.14973299,0.1540364,15,-18.025938,0.20642215
0.7884299,0.10000000000000002,17000.0,0.015,0.7481722,85000.0,0.362403,340.0,1700.0,0.15533231,0.15486932,16,-17.83597,0.20652951
0.79329985,0.06666666666666667,18000.0,0.015,0.70572215,90000.0,0.36291578,360.0,1800.0,0.15495986,0.15564093,17,-17.492416,0.20664431
0.79771394,0.075,19000.0,0.015000000000000001,0.77145237,95000.0,0.36344323,380.0,1900.0,0.18193626,0.15629247,18,-18.788145,0.20652771
0.8013568,0.11666666666666665,20000.0,0.02,0.80887747,100000.0,0.36404392,400.0,2000.0,0.15543635,0.1568844,19,-19.112593,0.20653005
0.8044307,0.11666666666666665,21000.0,0.015000000000000001,0.77299744,105000.0,0.36429092,420.0,2100.0,0.16265456,0.1573825,20,-19.149542,0.20647095
0.807463,0.06666666666666667,22000.0,0.01,0.8057038,110000.0,0.36448255,440.0,2200.0,0.14990596,0.15768625,21,-19.673597,0.20632361
0.81035256,0.15,23000.0,0.011666666666666667,0.7834479,115000.0,0.36464596,460.0,2300.0,0.15712613,0.15803464,22,-19.77997,0.20617163
0.8123925,0.10000000000000002,24000.0,0.01,0.8197605,120000.0,0.36466798,480.0,2400.0,0.16162543,0.15841234,23,-20.787481,0.20594071
0.81478995,0.05000000000000001,25000.0,0.015000000000000001,0.7674928,125000.0,0.36496094,500.0,2500.0,0.16028754,0.1587007,24,-20.805727,0.20581143
0.81701773,0.14166666666666666,26000.0,0.008333333333333333,0.7502811,130000.0,0.36527076,520.0,2600.0,0.1684202,0.1589329,25,-19.931786,0.20605522
0.8191088,0.16666666666666666,27000.0,0.02,0.7743395,135000.0,0.3654181,540.0,2700.0,0.19195616,0.15937026,26,-21.508781,0.20633782
